gender	word	n	log_odds_weighted	corpus
MALE	поручик	40	3.5273600464421726	rus
MALE	басманов	38	3.438041985318182	rus
MALE	федотыч	38	3.438041985318182	rus
MALE	крафт	37	3.3925013616837294	rus
MALE	брат	988	3.281670522719139	rus
MALE	артемьич	34	3.2520558838016735	rus
MALE	демьяныч	34	3.2520558838016735	rus
MALE	пардонпардон	33	3.2038730722951736	rus
MALE	черт	563	3.176400909772302	rus
MALE	ел	32	3.1549545883153893	rus
MALE	почтеннейший	32	3.1549545883153893	rus
MALE	могус	30	3.054768703694411	rus
MALE	высокопревосходительство	29	3.0034229507101524	rus
MALE	ммм	29	3.0034229507101524	rus
MALE	момент	29	3.0034229507101524	rus
MALE	мануска	27	2.898003863564383	rus
MALE	согдай	27	2.898003863564383	rus
MALE	трагедии	27	2.898003863564383	rus
MALE	подпись	26	2.8438294213667974	rus
MALE	расплюев	26	2.8438294213667974	rus
MALE	робинзон	26	2.8438294213667974	rus
MALE	точки	26	2.8438294213667974	rus
MALE	угоднос	26	2.8438294213667974	rus
MALE	антонович	25	2.7886028332060064	rus
MALE	валяй	25	2.7886028332060064	rus
MALE	виноватс	25	2.7886028332060064	rus
MALE	тфой	25	2.7886028332060064	rus
MALE	хмхм	25	2.7886028332060064	rus
MALE	позвольте	832	2.7686194352017255	rus
MALE	ваше	1268	2.7357831096946263	rus
MALE	богдан	24	2.732260299428356	rus
MALE	данилыч	24	2.732260299428356	rus
MALE	рад	518	2.722924365743061	rus
MALE	сам	1937	2.721684903473983	rus
MALE	генрих	23	2.674731299632412	rus
MALE	мечтал	23	2.674731299632412	rus
MALE	признать	23	2.674731299632412	rus
MALE	аминь	22	2.6159375576581008	rus
MALE	люли	22	2.6159375576581008	rus
MALE	хам	22	2.6159375576581008	rus
MALE	всеконечно	21	2.555791792151656	rus
MALE	инслар	21	2.555791792151656	rus
MALE	марины	21	2.555791792151656	rus
MALE	надейся	21	2.555791792151656	rus
MALE	родион	21	2.555791792151656	rus
MALE	государь	742	2.521526307046967	rus
MALE	вникаете	20	2.4941961957758343	rus
MALE	всевышний	20	2.4941961957758343	rus
MALE	досужев	20	2.4941961957758343	rus
MALE	думе	20	2.4941961957758343	rus
MALE	имеется	20	2.4941961957758343	rus
MALE	наполеон	20	2.4941961957758343	rus
MALE	пожалуйтес	20	2.4941961957758343	rus
MALE	превосходительству	20	2.4941961957758343	rus
MALE	предстоит	20	2.4941961957758343	rus
MALE	воевод	19	2.431040567358653	rus
